Name,Type,Building,Floor,Location Description,Latitude,Longitude,StartingTime,ClosingTime,ImageURL
Liang Ban Kung Fu,Food,The Deck,2,Upper level of The Deck. Mon-Fri; weekends and PH closed.,,,0800hrs,2000hrs,
Makan Boleh,Food,COM3,,At The Terrace @ COM3. Mon-Fri; weekends and PH closed. (Coordinates approximate: building-level point.),1.2948308,103.7716305,0800hrs,1900hrs,
Mini Wok & Dim Sum,Food,Yusof Ishak House,1,Level 1 near YIH bus stop. Daily; 2100 is the listed last-order time. (Coordinates approximate: building-level point.),1.2984401,103.7726256,1000hrs,2100hrs,
Mixue,Food,Frontier,,Science canteen near S17 bus stop. Mon-Fri; weekends and PH closed.,,,1000hrs,1900hrs,
Nine Fresh,Food,Faculty of Science,,Science faculty outlet. Mon-Fri hours shown; Sat 1100-1500; Sun and PH closed.,,,1100hrs,1830hrs,
Potato Corner,Food,Yusof Ishak House,,Near YIH bus stop. Term Mon-Fri hours shown; Sat and PH 1000-2000; Sun closed. Closed during vacation. (Coordinates approximate: building-level point.),1.2984401,103.7726256,1100hrs,2000hrs,
QQ Rice,Food,Science Block S16,,Near LT27 and S17 bus stops. Mon-Fri hours shown; Sat 0730-1400; Sun and PH closed.,,,0730hrs,1900hrs,
Sloppy B,Food,University Sports Centre,,Near UHC and Opp UHC bus stops. Term Mon-Thu hours shown; Fri closes 2000; Sat 1000-1430; Sun and PH closed. Vacation Mon-Fri closes 2000.,,,1000hrs,2200hrs,
South & East,Food,Shaw Foundation Alumni House,1,Units 01-01 to 01-03. Mon-Fri lunch 1130-1500 and dinner 1800-2200; weekends dinner only. Time fields show the weekday span with a break.,,,1130hrs,2200hrs,
Poonsti Cafe,Food/Coffee,Shaw Foundation Alumni House,,"Listed with South & East. Mon-Fri; food until 1500; drinks until 1630, last order 1600. Weekends closed.",,,0800hrs,1630hrs,
Starbucks @ S9,Food/Coffee,Science Block S9,,Science outlet near CP7. Term Mon-Fri hours shown; vacation closes 1700; weekends and PH closed.,,,0730hrs,1900hrs,
Starbucks @ CDE,Food/Coffee,College of Design and Engineering,,"CDE outlet near CP17. Term Mon-Fri only; weekends, PH and vacation closed.",,,0800hrs,1630hrs,
Taiwan Ichiban,Food,Frontier,,Inside the air-conditioned food court. Term Mon-Fri hours shown; Sat 0830-1500. Vacation weekdays 0900-1900. Sun and PH closed.,,,0830hrs,1930hrs,
TempuRamen,Food,Yusof Ishak House,1,Level 1 near YIH bus stop. Term daily hours shown; vacation daily 1000-2000. (Coordinates approximate: building-level point.),1.2984401,103.7726256,0930hrs,2030hrs,
The Acai Truck,Food,Prince George's Park,2,At PGP canteen. Mon-Thu hours shown; closes at midnight. Fri 1100-1930; weekends and PH closed.,,,1100hrs,0000hrs,
The Coffee Bean and Tea Leaf,Food/Coffee,COM3,,"At The Terrace @ COM3. Term Mon-Fri only; weekends, PH and vacation closed. (Coordinates approximate: building-level point.)",1.2948308,103.7716305,0900hrs,1800hrs,
The Spread,Food,Mochtar Riady Building,,Business School outlet. Term Mon-Fri hours shown; Sat 0800-1500. Vacation weekdays close 1700; Sat closes 1400. Sun and PH closed.,,,0800hrs,2000hrs,
Uncle Penyet Fusion,Food,Frontier,,Inside the air-conditioned food court. Mon-Fri hours shown; Sat 0700-1500; Sun and PH closed.,,,0700hrs,1930hrs,
Wild Skew,Food,Yusof Ishak House,2,Level 2 near YIH bus stop. Mon-Fri hours shown; weekends and PH 1200-2030. (Coordinates approximate: building-level point.),1.2984401,103.7726256,1130hrs,2030hrs,
Wok Express,Food,Yusof Ishak House,1,Level 1 near YIH bus stop. Mon-Sun except PH; 2100 is the listed last-order time. (Coordinates approximate: building-level point.),1.2984401,103.7726256,1000hrs,2100hrs,
Wonderful Cafe @ CDE,Food/Coffee,College of Design and Engineering,,CDE outlet near CP17. Mon-Fri and PH hours shown; Sat 0700-1500; Sun closed.,,,0700hrs,2000hrs,
Wonderful Cafe @ S16,Food/Coffee,Science Block S16,,Near LT27 and S17 bus stops. Term weekdays shown; Sat 0800-1430. Vacation weekdays 0830-1930. Sun and PH closed.,,,0730hrs,2000hrs,
The Terrace,Food,COM3,,Food court at Computing 3. Mon-Sat; Sun closed. Individual stalls may differ. (Coordinates approximate: building-level point.),1.2948308,103.7716305,0730hrs,1900hrs,
Bismillah Biryani,Food,Stephen Riady Centre,,UTown outlet near SRC carpark. Mon-Fri hours shown; Sat 1130-1700. (Coordinates approximate: building-level point.),1.3054859,103.7730596,1130hrs,1930hrs,
Fine Food,Food,Town Plaza,,UTown food court. Daily; individual stall hours may differ.,,,0800hrs,2030hrs,
Flavours @ UTown,Food,Stephen Riady Centre,,UTown food court. Daily; individual stall hours may differ. (Coordinates approximate: building-level point.),1.3054859,103.7730596,0730hrs,2030hrs,
Hwang's Korean Restaurant,Food,Town Plaza,,UTown outlet near CREATE Tower carpark. Mon-Sat; Sun closed.,,,1030hrs,2100hrs,
Jollibee,Food,Town Plaza,,UTown outlet near University Town bus stop. Daily.,,,0900hrs,2100hrs,
Mr Bean / Do Qoo,Food,Town Plaza,,UTown outlet near University Town bus stop. Term Mon-Fri hours shown; vacation weekdays 0830-1930. Weekend term schedule is unclear in the directory.,,,0730hrs,2100hrs,
Makan Malah!,Food,Town Plaza,,UTown outlet near University Town bus stop. Daily.,,,1100hrs,2230hrs,
Starbucks @ UTown,Food/Coffee,Education Resource Centre,,UTown ERC outlet. Open 24 hours daily during term; vacation daily 0730-2100.,,,0000hrs,2359hrs,
Subway @ UTown,Food,Stephen Riady Centre,,UTown outlet near SRC carpark. Daily. (Coordinates approximate: building-level point.),1.3054859,103.7730596,0830hrs,2130hrs,
Supersnacks @ UTown,Food,Stephen Riady Centre,,"UTown outlet. Term weekdays shown, closing next day; weekends and PH 1800-0200. (Coordinates approximate: building-level point.)",1.3054859,103.7730596,1100hrs,0200hrs,
The Royals Bistro,Food,Town Plaza,,UTown outlet near CREATE Tower carpark. Mon-Sat; Sun and PH closed.,,,1100hrs,2000hrs,
Sapore,Food,Stephen Riady Centre,,UTown outlet. Term weekdays shown; weekends and PH 1130-2000. Vacation weekdays close 2000; weekends and PH closed. (Coordinates approximate: building-level point.),1.3054859,103.7730596,1130hrs,2100hrs,
TOMORO COFFEE @ NUS College,Food/Coffee,NUS College,,UTown outlet near University Town bus stop. Mon-Fri hours shown; Sat 0800-1300; Sun and PH closed.,,,0800hrs,1800hrs,
Triplets,Food,Stephen Riady Centre,,UTown outlet. Listed term hours: Mon-Fri. Closed during vacation. (Coordinates approximate: building-level point.),1.3054859,103.7730596,0900hrs,2100hrs,
Udon Don Bar,Food,Town Plaza,,UTown outlet near CREATE Tower carpark. Daily term hours shown; vacation closes 2100.,,,1100hrs,2130hrs,
Waa Cow / Bueno Bueno,Food,Stephen Riady Centre,,UTown outlet near University Town bus stop. Mon-Fri hours shown; weekends and PH 1200-2030. (Coordinates approximate: building-level point.),1.3054859,103.7730596,1130hrs,2030hrs,
Cheers Unmanned Convenience Store @ YIH,Shopping,Yusof Ishak House,1,Level 1 near YIH bus stop. Open 24 hours daily. (Coordinates approximate: building-level point.),1.2984401,103.7726256,0000hrs,2359hrs,
FairPricexpress @ Kent Vale,Shopping,Kent Vale,,Near Kent Vale bus stop. Daily.,,,0700hrs,2300hrs,
FairPricexpress @ UTown,Shopping,Stephen Riady Centre,,"UTown convenience store. Open 24 hours during term. Published vacation exception is dated 2025, so current vacation hours need confirmation. (Coordinates approximate: building-level point.)",1.3054859,103.7730596,0000hrs,2359hrs,
NUS Co-op @ Science,Shopping,Science LT27,,Science branch at LT27. Mon-Fri; weekends and PH closed.,,,1000hrs,1730hrs,
Octobox @ UTown,Shopping,Stephen Riady Centre,,UTown convenience store. Open 24 hours daily. (Coordinates approximate: building-level point.),1.3054859,103.7730596,0000hrs,2359hrs,
